Title: Gale2013MORB-7

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 Mg#
5000.00 1563.15 2.584492 6.483225 -32304.723050 0.802692 3.297840 opx Na0.00Ca0.07Fe''0.30Mg1.57Fe'''0.02Ti0.00Al0.10Si1.94O6 54.9725 0.0801754 2.46437 0.587895 10.2972 0 29.7606 1.80635 0.0309511 0 0
5000.00 1558.15 3.380170 8.462441 -42205.057226 1.048871 4.307351 opx Na0.00Ca0.07Fe''0.31Mg1.56Fe'''0.02Ti0.00Al0.10Si1.94O6 54.9023 0.0806188 2.4882 0.591787 10.4601 0 29.5722 1.87313 0.0317925 0 0
5000.00 1553.15 4.167758 10.413438 -51982.245824 1.292092 5.303752 opx Na0.00Ca0.07Fe''0.31Mg1.55Fe'''0.02Ti0.00Al0.10Si1.94O6 54.8315 0.0810046 2.51174 0.595493 10.6244 0 29.3801 1.94318 0.0326608 0 0
5000.00 1548.15 4.948023 12.338182 -61645.681179 1.532598 6.288005 opx Na0.00Ca0.08Fe''0.32Mg1.54Fe'''0.02Ti0.00Al0.11Si1.94O6 54.7601 0.0813325 2.535 0.599008 10.79 0 29.1843 2.01669 0.0335571 0 0
5000.00 1543.15 5.721733 14.238623 -71204.764978 1.770628 7.261069 opx Na0.00Ca0.08Fe''0.32Mg1.53Fe'''0.02Ti0.00Al0.11Si1.94O6 54.6882 0.0816026 2.55795 0.602326 10.9569 0 28.9847 2.09391 0.0344828 0 0
5000.00 1538.15 6.489657 16.116700 -80668.935051 2.006427 8.223899 opx Na0.00Ca0.08Fe''0.33Mg1.52Fe'''0.02Ti0.00Al0.11Si1.94O6 54.6157 0.0818155 2.5806 0.605442 11.1247 0 28.7812 2.17507 0.0354394 0 0
5000.00 1533.15 7.252566 17.974342 -90047.693248 2.240236 9.177449 opx Na0.00Ca0.09Fe''0.34Mg1.51Fe'''0.02Ti0.00Al0.11Si1.94O6 54.5427 0.0819719 2.60295 0.608352 11.2934 0 28.5737 2.26044 0.0364283 0 0

clinopyroxene_1 thermodynamic data and composition:
Pressure Temperature mass S H V Cp structure formula SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5
5000.00 1468.15 1.070127 2.524925 -13048.428550 0.325491 1.267466 cpx Na0.02Ca0.62Fe''0.33Mg0.89Fe'''0.04Ti0.02Al0.20Si1.87O6 50.457 0.640534 4.69056 1.48484 10.6821 0 16.0846 15.6301 0.33028 0 0
5000.00 1463.15 2.177709 5.125032 -26517.369192 0.661553 2.574022 cpx Na0.02Ca0.63Fe''0.34Mg0.88Fe'''0.04Ti0.02Al0.21Si1.87O6 50.3282 0.697321 4.69825 1.51722 10.8121 0 15.8117 15.796 0.339112 0 0
5000.00 1458.15 3.227890 7.577095 -39257.917855 0.979418 3.807745 cpx Na0.03Ca0.64Fe''0.34Mg0.86Fe'''0.04Ti0.02Al0.21Si1.87O6 50.1996 0.757712 4.7087 1.54744 10.9247 0 15.5487 15.9655 0.34763 0 0
5000.00 1453.15 4.214380 9.867576 -51202.669083 1.277294 4.961904 cpx Na0.03Ca0.64Fe''0.34Mg0.85Fe'''0.04Ti0.02Al0.21Si1.86O6 50.0714 0.821639 4.72182 1.57514 11.0199 0 15.2969 16.1375 0.355774 0 0
5000.00 1448.15 5.133913 11.990162 -62320.623061 1.554314 6.033376 cpx Na0.03Ca0.65Fe''0.35Mg0.84Fe'''0.04Ti0.02Al0.21Si1.86O6 49.9442 0.888975 4.73757 1.60002 11.0979 0 15.0571 16.3107 0.363492 0 0
5000.00 1443.15 5.985641 13.944242 -72609.394469 1.810336 7.021877 cpx Na0.03Ca0.66Fe''0.35Mg0.83Fe'''0.05Ti0.03Al0.21Si1.86O6 49.8182 0.959549 4.75594 1.62186 11.1591 0 14.8302 16.4844 0.370748 0 0
5000.00 1438.15 6.770664 15.733740 -82089.249062 2.045802 7.929382 cpx Na0.03Ca0.67Fe''0.35Mg0.81Fe'''0.05Ti0.03Al0.21Si1.86O6 49.6937 1.03318 4.77699 1.64052 11.204 0 14.6163 16.6578 0.377522 0 0
