,experiment,step,pressure,temperature,mass,F,phi,entropy,enthalpy,volume,dVdP*10^6,dVdT*10^6,Cp,logfO2(absolute),logfO2-QFM,rhol,rhos,viscosity,aH2O,chisqr,mass%,volume%
"(5000, 1130)",9738d19744,17,5000.0,1130.0,47.385578,0.9361021188869656,0.940494,126.50978300000001,-555021.628086,17.408651000000003,-127.58788999999999,1594.733222,66.238428,-9.129,0.0,2.709245,2.9228520000000002,2.627,0.08129760000000001,0.0,0.47672051274119004,0.47337763686473233
"(5000, 1120)",9738d19744,18,5000.0,1120.0,44.370234,0.9054188474658154,0.9166049999999999,117.87119799999999,-518321.168338,16.278948,-120.28621899999999,1484.175649,61.398146999999994,-9.254,0.0,2.692356,3.091234,2.725,0.0931333,0.0,0.4463847777255473,0.4426586491327708
"(5000, 1110)",9738d19744,19,5000.0,1110.0,40.190983,0.8927571195036217,0.9073370000000001,106.65511000000001,-471024.366722,14.839135999999998,-112.676375,1356.936306,55.305904000000005,-9.381,0.0,2.664924,3.134589,2.866,0.10753900000000001,0.0,0.4043396077881007,0.4035071489912903
"(5000, 1100)",9738d19744,20,5000.0,1100.0,35.894973,0.9046050451507696,0.9177299999999999,95.51114100000001,-423420.787978,13.399226,-106.13573999999998,1248.8981939999999,49.416589,-9.51,0.0,2.640573,3.106242,2.989,0.12209500000000001,0.0,0.3611197890926047,0.36435298402480926
"(5000, 1090)",9738d19744,21,5000.0,1090.0,32.482802,0.9140192585202952,0.9259639999999999,86.61470600000001,-385414.63951199997,12.244071,-100.652591,1162.2746,44.725277,-9.64,0.0,2.61872,3.0809509999999998,3.0980000000000003,0.13677,0.0,0.3267917935856043,0.3329419031712451
"(5000, 1080)",9738d19744,22,5000.0,1080.0,29.700405,0.921638808859536,0.932617,79.326945,-354272.349764,11.293488,-95.95864399999999,1091.0877150000001,40.891376,-9.773,0.0,2.5989139999999997,3.058322,3.194,0.151543,0.0,0.2987996115658018,0.3070935629303047
"(5000, 1070)",9738d19744,23,5000.0,1070.0,27.382423,0.9279136863493584,0.93809,73.230464,-328210.989641,10.494914999999999,-91.871112,1031.389216,37.692158,-9.907,0.0,2.58081,3.037977,3.28,0.166398,0.0,0.2754796561235605,0.28537869257050597
"(5000, 1060)",9738d19744,24,5000.0,1060.0,25.417038,0.9314869891424528,0.9412450000000001,68.03392,-306032.339896,9.811558,-88.205506,979.713357,34.955393,-10.044,0.0,2.5636650000000003,3.02073,3.364,0.181508,0.0,0.2557069872129092,0.26679678626455655
"(5000, 1050)",9738d19744,25,5000.0,1050.0,23.684467,0.9345949375123862,0.944001,63.447768999999994,-286393.423525,9.205060000000001,-84.88343499999999,934.27437,32.533791,-10.183,0.0,2.547345,3.0051900000000002,3.447,0.196865,0.0,0.23827653325747752,0.25030483694561245
"(5000, 1040)",9738d19744,26,5000.0,1040.0,22.143689000000002,0.9389248389686028,0.94778,59.372437,-268846.520516,8.663147,-81.89869399999999,894.5963210000001,30.390584999999998,-10.323,0.0,2.532198,2.9895099999999997,3.5210000000000004,0.21224899999999997,0.0,0.22277560430014065,0.23556908887838554
"(5000, 1030)",9738d19744,27,5000.0,1030.0,20.799157,0.9426270024196752,0.9510120000000001,55.804878,-253483.56917399997,8.187168,-79.19967700000001,859.923641,28.526215000000004,-10.466,0.0,2.5180599999999997,2.975272,3.588,0.227652,0.0,0.20924899955054915,0.22262622419477285
"(5000, 1020)",9738d19744,28,5000.0,1020.0000000000001,19.613415,0.9458214895086304,0.953802,52.649483999999994,-239893.48091399999,7.764827,-76.736479,828.9525990000001,26.875645000000002,-10.610999999999999,0.0,2.504797,2.962262,3.648,0.24306399999999997,0.0,0.19731989457648375,0.21114188893346583
"(5000, 1010)",9738d19744,29,5000.0,1010.0000000000001,18.55809,0.9486113337717068,0.956241,49.833678000000006,-227763.71066100002,7.386761,-74.472603,801.199861,25.406644,-10.758,0.0,2.492299,2.9503790000000003,3.702,0.258475,0.0,0.1867028440657018,0.20086148353853303
"(5000, 1000)",9738d19744,30,5000.0,1000.0000000000001,17.611491,0.9510706361385154,0.9583940000000001,47.301783,-216855.08366799998,7.045787,-72.378762,776.132795,24.089173000000002,-10.908,0.0,2.480479,2.939518,3.7510000000000003,0.27387399999999995,0.0,0.1771796266715762,0.19158968721426212
"(5000, 990)",9738d19744,31,5000.0,990.0000000000001,16.756660999999998,0.9532561299321324,0.960309,45.010139,-206980.191213,6.736264,-70.431517,753.3320480000001,22.899701999999998,-11.06,0.0,2.46926,2.929582,3.7939999999999996,0.289247,0.0,0.16857964724520824,0.18317310937056347
"(5000, 980)",9738d19744,32,5000.0,980.0000000000001,15.980117000000002,0.9552127959600838,0.9620270000000001,42.923953000000004,-197989.700053,6.453692,-68.61184899999999,732.462584,21.819494,-11.214,0.0,2.458581,2.920487,3.833,0.304584,0.0,0.1607672606611279,0.17548938559414098
"(5000, 970)",9738d19744,33,5000.0,970.0000000000001,15.270999,0.9569768585174636,0.9635790000000001,41.015125,-189763.01916,6.1944300000000005,-66.904146,713.2533940000001,20.833437,-11.370999999999999,0.0,2.448388,2.912157,3.867,0.319871,0.0,0.15363321036941238,0.1684395094785922
"(5000, 960)",9738d19744,34,5000.0,960.0000000000001,14.620454999999998,0.9585778946159036,0.964989,39.260694,-182201.61667699998,5.955501,-65.295456,695.482852,19.929201000000003,-11.530999999999999,0.0,2.438639,2.904522,3.8960000000000004,0.335094,0.0,0.14708844121537346,0.16194253016649882
"(5000, 950)",9738d19744,35,5000.0,950.0000000000001,14.021195,0.9600403410859676,0.9662799999999999,37.641708,-175224.140132,5.734443,-63.77494,678.967951,19.09662,-11.693,0.0,2.429295,2.8975169999999997,3.9219999999999997,0.35024099999999997,0.0,0.14105961247627305,0.15593150072774198
"(5000, 940)",9738d19744,36,5000.0,940.0000000000001,13.46716,0.9613845851818792,0.967468,36.142373,-168762.790097,5.529204,-62.333447,663.556236,18.327239000000002,-11.857000000000001,0.0,2.420327,2.891083,3.944,0.365295,0.0,0.13548576785045535,0.15035062298985863
"(5000, 930)",9738d19744,37,5000.0,930.0000000000001,12.953272,0.9626277623760368,0.968568,34.749418,-162760.581854,5.338056,-60.963193999999994,649.119679,17.613966,-12.025,0.0,2.411708,2.885163,3.963,0.380244,0.0,0.1303158203433986,0.14515290901814307
"(5000, 920)",9738d19744,38,5000.0,920.0000000000001,12.473913,0.9585440346035732,0.965888,33.427842999999996,-157175.020974,5.158913,-59.597888,634.493153,16.931103,-12.195,0.0,2.3995490000000004,2.938518,3.997,0.39834200000000003,0.0,0.12549325031445213,0.14028163610900962
"(5000, 910)",9738d19744,39,5000.0,910.0000000000001,11.960727,0.9616154731522012,0.968327,32.065884999999994,-151376.476768,4.972282,-58.299062,620.407049,16.23309,-12.368,0.0,2.388807,2.91522,4.024,0.415558,0.0,0.12033036524736272,0.1352067488161515
"(5000, 900)",9738d19744,40,5000.0,900.0000000000001,11.505496,0.9631014547499248,0.9696,30.844234999999998,-146191.54105899998,4.804662,-57.0728,607.436899,15.608697,-12.544,0.0,2.378602,2.90659,4.048,0.43255,0.0,0.11575053389581343,0.13064881038133158
"(5000, 890)",9738d19744,41,5000.0,890.0000000000001,11.084793,0.96451471021392,0.9708030000000001,29.712263,-141384.01441,4.648944999999999,-55.906478,595.277503,15.031587,-12.724,0.0,2.368922,2.897925,4.0680000000000005,0.449288,0.0,0.11151806996191865,0.1264145394157257
"(5000, 880)",9738d19744,42,5000.0,880.0000000000001,10.695244,0.9658630503360852,0.971944,28.661140999999997,-136917.439423,4.503995,-54.79493000000001,583.844819,14.497091000000001,-12.905999999999999,0.0,2.359757,2.889257,4.084,0.46574099999999996,0.0,0.10759902946782957,0.1224730457029996
"(5000, 870)",9738d19744,43,5000.0,870.0000000000001,10.333914,0.9671534982608352,0.973029,27.683177,-132760.179374,4.368821,-53.73364599999999,573.065764,14.001148,-13.091,0.0,2.351096,2.880616,4.0969999999999995,0.481882,0.0,0.10396388497579077,0.11879738188013629
"(5000, 860)",9738d19744,44,5000.0,860.0000000000001,9.998236,0.9683924010927544,0.9740639999999999,26.771635999999997,-128884.68114500001,4.24256,-52.718676,562.8765480000001,13.540220000000001,-13.28,0.0,2.3429290000000003,2.872029,4.107,0.49768500000000004,0.0,0.10058681129577916,0.11536408117187476
"(5000, 850)",9738d19744,45,5000.0,850.0000000000001,9.685957,0.9695855146747236,0.975057,25.920605,-125266.868532,4.124452,-51.746552,553.221303,13.11121,-13.472000000000001,0.0,2.3352459999999997,2.863525,4.115,0.513125,0.0,0.09744514222089089,0.11215247758841387
