,experiment,step,pressure,temperature,mass,entropy,enthalpy,volume,Cp,viscosity,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Mg#,phaseID,phase,formula,structure,mass%,volume%,H2O
"(5000, 1230)",363f3d0a0b,7,5000.0,1230.0,30.152251999999997,,,,,,682.2217626192,684.64482119028,938.64130867428,946.728020893848,1005.151251115128,1005.151251115128,1116.287970610968,1292.850912435768,1323.665454635448,1323.9662824907305,1323.9662824907305,0.664388508360945,,cumulate,,,30.33531958664146,,
"(5000, 1220)",363f3d0a0b,8,5000.0,1220.0,40.92429,,,,,,560.830000413,562.52848150465,773.8370877278501,779.8259207463681,834.4838878806481,834.4838878806481,923.0529846815881,1048.3511762899882,1076.8704700561282,1077.204144705216,1077.204144705216,0.6634965444362433,,cumulate,,,41.172759368235425,,
"(5000, 1210)",363f3d0a0b,9,5000.0,1210.0,48.98774,,,,,,422.607833535,424.04974772745,581.4200696524499,586.1211013197,628.7840089247,628.7840089247,691.7093987656999,782.7062383606999,806.0271065471999,806.3457055518749,806.3457055518749,0.6622685620035471,,cumulate,,,49.28516612050402,,
"(5000, 1200)",363f3d0a0b,10,5000.0,1200.0,55.269095,,,,,,331.44260606550006,332.69677909293006,454.62478913343006,458.4484132371601,492.9669715041601,492.9669715041601,539.4421518272101,608.11934671971,627.82339203276,628.1355288942331,628.1355288942331,0.6610855188126067,,cumulate,,,55.604657990038284,,
"(5000, 1190)",363f3d0a0b,11,5000.0,1190.0,60.320954,,,,,,268.4244657342,269.535308905992,367.041744650892,370.238606492823,398.987574134253,398.987574134253,434.372966869623,487.78172540352296,504.87307373514295,505.18586867847415,505.18586867847415,0.6599374052309157,,cumulate,,,60.687189048469705,,
"(5000, 1180)",363f3d0a0b,12,5000.0,1180.0,64.488064,,,,,,223.003308361,224.00054778932,303.93780220832,306.66845105178004,331.17147456278,331.17147456278,358.75657597198,401.25901441698,416.39133265768,416.710912907401,416.710912907401,0.6588221740883446,,cumulate,,,64.87959940649833,,
"(5000, 1170)",363f3d0a0b,13,5000.0,1170.0,67.999377,,,,,,189.30647116289998,190.21017778970997,257.11965152990996,259.49232648420895,280.79181068968893,280.79181068968893,302.71420182136893,337.16632714911896,350.79878919283897,351.1314225448237,351.1314225448237,0.6577351859348508,,cumulate,,,68.41223113243804,,
"(5000, 1300)",4689ca6fc3,0,5000.0,1300.0,99.399075,278.54429,-1179858.946275,36.775397999999996,149.410719,1.8659999999999999,50.4612,1.54156,14.9651,1.39953,8.82086,0.17314000000000002,7.69786,11.3615,2.7628,0.14416600000000002,0.169217,0.6087033384187475,liquid_0,liquid,,,100.0,100.0,0.503023
"(5000, 1290)",4689ca6fc3,1,5000.0,1290.0,99.399374,277.592169,-1181357.300154,36.746534999999994,149.40868700000001,1.905,50.4611,1.54156,14.9651,1.4025299999999998,8.81814,0.17314000000000002,7.697839999999999,11.3614,2.7627900000000003,0.14416600000000002,0.169216,0.6087761747712495,liquid_0,liquid,,,100.00030080762824,99.92151546531188,0.503021
"(5000, 1280)",4689ca6fc3,2,5000.0,1280.0,99.399695,276.633982,-1182855.954951,36.717695,149.406792,1.944,50.4609,1.54155,14.965,1.40574,8.81521,0.17313900000000002,7.6978100000000005,11.3614,2.7627900000000003,0.14416500000000002,0.169216,0.6088543928428843,liquid_0,liquid,,,100.00062374825922,99.84309347243503,0.50302
