Title: MORB_Gale2013-1

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 Mg#
5000.00 1113.15 8.597665 16.680882 -108093.815951 2.420412 9.342933 cpx Na0.03Ca0.94Fe''0.25Mg0.35Fe'''0.03Ti0.40Al0.78Si1.21O6 31.3012 13.6483 16.9998 1.13891 7.75329 0 6.05105 22.6433 0.46414 0 0
5000.00 1108.15 8.620206 16.678472 -108450.272122 2.425956 9.361846 cpx Na0.03Ca0.94Fe''0.25Mg0.35Fe'''0.03Ti0.40Al0.78Si1.21O6 31.2312 13.6973 17.0646 1.11707 7.73865 0 6.0302 22.6584 0.462583 0 0
5000.00 1103.15 8.641976 16.674193 -108796.996322 2.431283 9.379853 cpx Na0.03Ca0.94Fe''0.25Mg0.35Fe'''0.03Ti0.40Al0.78Si1.21O6 31.162 13.7457 17.1287 1.09549 7.72426 0 6.00961 22.6733 0.461011 0 0
5000.00 1098.15 8.663001 16.668111 -109134.319695 2.436401 9.396983 cpx Na0.03Ca0.94Fe''0.25Mg0.35Fe'''0.03Ti0.40Al0.79Si1.21O6 31.0934 13.7935 17.1921 1.07415 7.71012 0 5.98927 22.688 0.459422 0 0
5000.00 1093.15 8.683309 16.660285 -109462.557474 2.441320 9.413265 cpx Na0.03Ca0.94Fe''0.25Mg0.35Fe'''0.03Ti0.40Al0.79Si1.20O6 31.0256 13.8409 17.2548 1.05307 7.69622 0 5.96917 22.7025 0.457817 0 0
5000.00 1088.15 8.702924 16.650773 -109782.010034 2.446044 9.428728 cpx Na0.03Ca0.94Fe''0.25Mg0.34Fe'''0.03Ti0.41Al0.79Si1.20O6 30.9584 13.8877 17.3168 1.03225 7.68256 0 5.94932 22.7168 0.456196 0 0
5000.00 1083.15 8.721872 16.639630 -110092.963859 2.450583 9.443398 cpx Na0.03Ca0.94Fe''0.25Mg0.34Fe'''0.03Ti0.41Al0.79Si1.20O6 30.8919 13.934 17.3782 1.01168 7.66914 0 5.9297 22.7309 0.454559 0 0
5000.00 1078.15 8.740175 16.626908 -110395.692440 2.454941 9.457300 cpx Na0.03Ca0.95Fe''0.25Mg0.34Fe'''0.03Ti0.41Al0.80Si1.20O6 30.826 13.9798 17.4389 0.991366 7.65595 0 5.91032 22.7448 0.452906 0 0
5000.00 1073.15 8.757855 16.612656 -110690.457109 2.459126 9.470457 cpx Na0.03Ca0.95Fe''0.25Mg0.34Fe'''0.03Ti0.41Al0.80Si1.19O6 30.7607 14.0251 17.4989 0.97131 7.64299 0 5.89117 22.7585 0.451236 0 0
5000.00 1068.15 8.774933 16.596922 -110977.507816 2.463143 9.482893 cpx Na0.03Ca0.95Fe''0.25Mg0.34Fe'''0.03Ti0.41Al0.80Si1.19O6 30.6961 14.07 17.5583 0.951511 7.63025 0 5.87224 22.7721 0.449549 0 0
